This,Other,More Significant
F,F,false
F,L,true
F,N,true
F,X,true
F,B,true
F,Q,true
F,C,true
F,G,true
F,A,true
L,F,false
L,L,false
L,N,true
L,X,true
L,B,true
L,Q,true
L,C,true
L,G,true
L,A,true
N,F,false
N,L,false
N,N,false
N,X,true
N,B,true
N,Q,true
N,C,true
N,G,true
N,A,true
X,F,false
X,L,false
X,N,false
X,X,false
X,B,true
X,Q,true
X,C,true
X,G,true
X,A,true
B,F,false
B,L,false
B,N,false
B,X,false
B,B,false
B,Q,true
B,C,true
B,G,true
B,A,true
Q,F,false
Q,L,false
Q,N,false
Q,X,false
Q,B,false
Q,Q,false
Q,C,true
Q,G,true
Q,A,true
C,F,false
C,L,false
C,N,false
C,X,false
C,B,false
C,Q,false
C,C,false
C,G,true
C,A,true
G,F,false
G,L,false
G,N,false
G,X,false
G,B,false
G,Q,false
G,C,false
G,G,false
G,A,false
A,F,false
A,L,false
A,N,false
A,X,false
A,B,false
A,Q,false
A,C,false
A,G,false
A,A,false
